	Cell_type	Gene	source
484	B_activated	AKNA	Angelova_2015
485	B_activated	ARHGAP25	Angelova_2015
486	B_activated	CCL21	Angelova_2015
487	B_activated	CD180	Angelova_2015
488	B_activated	CD2	Angelova_2015
489	B_activated	CD27	Angelova_2015
490	B_activated	CD37	Angelova_2015
491	B_activated	CD38	Angelova_2015
492	B_activated	CLEC17A	Angelova_2015
493	B_activated	CLEC9A	Angelova_2015
494	B_activated	CLECL1	Angelova_2015
495	B_activated	FAIM3	Angelova_2015
496	B_activated	FAM65B	Angelova_2015
497	B_activated	GIMAP4	Angelova_2015
498	B_activated	MAP4K1	Angelova_2015
499	B_activated	PAX5	Angelova_2015
500	B_activated	TNFRSF17	Angelova_2015
501	B_activated	TRAF3IP3	Angelova_2015
502	T_CD4_activated	ANLN	Angelova_2015
503	T_CD4_activated	BRIP1	Angelova_2015
504	T_CD4_activated	BUB1B	Angelova_2015
505	T_CD4_activated	CASC5	Angelova_2015
506	T_CD4_activated	CCNB1	Angelova_2015
507	T_CD4_activated	CCNB2	Angelova_2015
508	T_CD4_activated	CCNE2	Angelova_2015
509	T_CD4_activated	CEP55	Angelova_2015
510	T_CD4_activated	CKAP2L	Angelova_2015
511	T_CD4_activated	DLGAP5	Angelova_2015
512	T_CD4_activated	DTL	Angelova_2015
513	T_CD4_activated	E2F8	Angelova_2015
514	T_CD4_activated	ECT2	Angelova_2015
515	T_CD4_activated	ESCO2	Angelova_2015
516	T_CD4_activated	EXO1	Angelova_2015
517	T_CD4_activated	EXOC6	Angelova_2015
518	T_CD4_activated	FBXO5	Angelova_2015
519	T_CD4_activated	FIGNL1	Angelova_2015
520	T_CD4_activated	HELLS	Angelova_2015
521	T_CD4_activated	HMMR	Angelova_2015
522	T_CD4_activated	IARS	Angelova_2015
523	T_CD4_activated	KIF11	Angelova_2015
524	T_CD4_activated	KIF18A	Angelova_2015
525	T_CD4_activated	KIF20A	Angelova_2015
526	T_CD4_activated	KNTC1	Angelova_2015
527	T_CD4_activated	MAD2L1	Angelova_2015
528	T_CD4_activated	MASTL	Angelova_2015
529	T_CD4_activated	MTHFD2	Angelova_2015
530	T_CD4_activated	NCAPG2	Angelova_2015
531	T_CD4_activated	NCAPH	Angelova_2015
532	T_CD4_activated	NEIL3	Angelova_2015
533	T_CD4_activated	NUF2	Angelova_2015
534	T_CD4_activated	PRC1	Angelova_2015
535	T_CD4_activated	PSAT1	Angelova_2015
536	T_CD4_activated	RTKN2	Angelova_2015
537	T_CD8_activated	ADRM1	Angelova_2015
538	T_CD8_activated	AHSA1	Angelova_2015
539	T_CD8_activated	C1GALT1C1	Angelova_2015
540	T_CD8_activated	CCT5	Angelova_2015
541	T_CD8_activated	CCT6B	Angelova_2015
542	T_CD8_activated	CETN3	Angelova_2015
543	T_CD8_activated	CSE1L	Angelova_2015
544	T_CD8_activated	EIF2S1	Angelova_2015
545	T_CD8_activated	GAL	Angelova_2015
546	T_CD8_activated	GEMIN6	Angelova_2015
547	T_CD8_activated	GPT2	Angelova_2015
548	T_CD8_activated	KIAA0101	Angelova_2015
549	T_CD8_activated	MND1	Angelova_2015
550	T_CD8_activated	MPZL1	Angelova_2015
551	T_CD8_activated	MRPS16	Angelova_2015
552	T_CD8_activated	PCNA	Angelova_2015
553	T_CD8_activated	PTRH2	Angelova_2015
554	T_CD8_activated	RFC5	Angelova_2015
555	T_CD8_activated	SPC25	Angelova_2015
556	T_CD8_activated	TIMM13	Angelova_2015
557	T_CD8_activated	TIMM8B	Angelova_2015
558	T_CD8_activated	TK1	Angelova_2015
559	T_CD8_activated	TUBB	Angelova_2015
560	T_CD8_activated	TXNDC17	Angelova_2015
1647	DC_activated	CCL1	Bindea_2013
1648	DC_activated	EBI3	Bindea_2013
1649	DC_activated	INDO	Bindea_2013
1650	DC_activated	LAMP3	Bindea_2013
1651	DC_activated	OAS3	Bindea_2013
3455	DC_activated	ABCD1	Charoentong_2017
3456	DC_activated	C1QC	Charoentong_2017
3457	DC_activated	CAPG	Charoentong_2017
3458	DC_activated	CCL3L3	Charoentong_2017
3459	DC_activated	CD207	Charoentong_2017
3460	DC_activated	CD302	Charoentong_2017
3461	DC_activated	ATP5B	Charoentong_2017
3462	DC_activated	ATP5L	Charoentong_2017
3463	DC_activated	ATP6V1A	Charoentong_2017
3464	DC_activated	BCL2L1	Charoentong_2017
3465	DC_activated	C1QB	Charoentong_2017
3466	DC_activated	SNURF	Charoentong_2017
3467	DC_activated	SPCS3	Charoentong_2017
3468	DC_activated	CCNA1	Charoentong_2017
3469	DC_activated	CEACAM8	Charoentong_2017
3470	DC_activated	NOS2	Charoentong_2017
3471	DC_activated	SRA1	Charoentong_2017
3472	DC_activated	TNFRSF6B	Charoentong_2017
3473	DC_activated	TREM1	Charoentong_2017
3474	DC_activated	TREML1	Charoentong_2017
3475	DC_activated	RHOA	Charoentong_2017
3476	DC_activated	SLC25A37	Charoentong_2017
3477	DC_activated	TNFSF14	Charoentong_2017
3478	DC_activated	TREML4	Charoentong_2017
3479	DC_activated	VNN2	Charoentong_2017
3480	DC_activated	XPO6	Charoentong_2017
3481	DC_activated	CLEC4C	Charoentong_2017
3482	DC_activated	TNFAIP2	Charoentong_2017
3483	DC_activated	UBD	Charoentong_2017
3484	DC_activated	ACTR3	Charoentong_2017
3485	DC_activated	RAB1A	Charoentong_2017
3486	DC_activated	SLA	Charoentong_2017
3487	DC_activated	HLA-DQA2	Charoentong_2017
3488	DC_activated	SIGLEC5	Charoentong_2017
3489	DC_activated	SLAMF9	Charoentong_2017
9	B	ALG5	Abbas_2005
11	B	AMPD1	Abbas_2005
13	B	AP1	Abbas_2005
18	B	B4GALT3	Abbas_2005
19	B	BAFFR	Abbas_2005
20	B	BANK1	Abbas_2005
21	B	BANK1	Abbas_2005
22	B	BCL11A	Abbas_2005
24	B	BCMA	Abbas_2005
25	B	BCNP1	Abbas_2005
27	B	BLK	Abbas_2005
28	B	BLNK	Abbas_2005
29	B	BMP8B	Abbas_2005
30	B	BRDG1	Abbas_2005
31	B	C14orf138	Abbas_2005
32	B	C19orf10	Abbas_2005
33	B	C19orf10	Abbas_2005
34	B	C20orf31	Abbas_2005
37	B	C21orf83B	Abbas_2005
53	B	CD19	Abbas_2005
59	B	CD20	Abbas_2005
60	B	CD20	Abbas_2005
61	B	CD20	Abbas_2005
62	B	CD20	Abbas_2005
63	B	CD20	Abbas_2005
72	B	CD79A	Abbas_2005
73	B	CD79B	Abbas_2005
97	B	COPEB	Abbas_2005
98	B	COPEB	Abbas_2005
99	B	CPNE5	Abbas_2005
121	B	CXCR5	Abbas_2005
132	B	DDOST	Abbas_2005
137	B	DKFZp667L0210	Abbas_2005
140	B	DTNB	Abbas_2005
146	B	EAF2	Abbas_2005
149	B	EIF2AK3	Abbas_2005
150	B	ELL2	Abbas_2005
152	B	ERN1	Abbas_2005
153	B	ERP70	Abbas_2005
159	B	EST	Abbas_2005
163	B	EST	Abbas_2005
164	B	EST	Abbas_2005
168	B	EST	Abbas_2005
169	B	FBXO18	Abbas_2005
173	B	FCRH1	Abbas_2005
174	B	FCRH1	Abbas_2005
175	B	FCRH2	Abbas_2005
176	B	FKBP11	Abbas_2005
181	B	FLJ20202	Abbas_2005
182	B	FLJ20202	Abbas_2005
186	B	FLJ22625	Abbas_2005
188	B	FLJ23235	Abbas_2005
189	B	FLJ31364	Abbas_2005
192	B	FLJ43842	Abbas_2005
199	B	FREB	Abbas_2005
200	B	FREB	Abbas_2005
201	B	FREB	Abbas_2005
208	B	GNG7	Abbas_2005
213	B	GPRC5D	Abbas_2005
231	B	HTPAP	Abbas_2005
255	B	IRTA2	Abbas_2005
256	B	IRTA2	Abbas_2005
257	B	IRTA2	Abbas_2005
260	B	KIAA0102	Abbas_2005
261	B	KIAA0125	Abbas_2005
262	B	KIAA0746	Abbas_2005
263	B	KIAA0746	Abbas_2005
264	B	KIAA0746	Abbas_2005
267	B	KIAA1384	Abbas_2005
291	B	LOC220213	Abbas_2005
294	B	LOC51061	Abbas_2005
295	B	LOC51061	Abbas_2005
299	B	LZTFL1	Abbas_2005
301	B	MAN1A1	Abbas_2005
302	B	MANEA	Abbas_2005
309	B	MGC15606	Abbas_2005
332	B	MTND6	Abbas_2005
335	B	NALP7	Abbas_2005
340	B	NGLY1	Abbas_2005
354	B	OSBPL10	Abbas_2005
355	B	PACAP	Abbas_2005
356	B	PACAP	Abbas_2005
358	B	PAX5	Abbas_2005
359	B	PC4	Abbas_2005
369	B	PNOC	Abbas_2005
370	B	POU2AF1	Abbas_2005
382	B	QRSL1	Abbas_2005
386	B	RALGPS2	Abbas_2005
392	B	RPN1	Abbas_2005
394	B	SCFD1	Abbas_2005
397	B	SEC24A	Abbas_2005
407	B	SMCY	Abbas_2005
412	B	SPATS2	Abbas_2005
413	B	SPATS2	Abbas_2005
414	B	SPIB	Abbas_2005
417	B	SSR1	Abbas_2005
418	B	STCH	Abbas_2005
423	B	TCF3	Abbas_2005
426	B	TCL1A	Abbas_2005
427	B	TCL1A	Abbas_2005
436	B	TLOC1	Abbas_2005
437	B	TLR10	Abbas_2005
444	B	TRA1	Abbas_2005
445	B	TRA1	Abbas_2005
446	B	TRA1	Abbas_2005
447	B	TRAM1	Abbas_2005
448	B	TRAM1	Abbas_2005
449	B	TRAM2	Abbas_2005
454	B	TXNDC5	Abbas_2005
