Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
TS1	48673614	14220018	2686516	0	0	0	0	0	0	0	0	0	25952885	5814195	0	29.21504452083628
TS10	47795276	19821214	4148237	0	0	0	0	0	0	0	0	0	14284690	9541135	0	41.47107341738125
TS11	45639977	5388171	6719950	0	0	0	0	0	0	0	0	0	19030071	14501785	0	11.805814450782917
TS12	55925691	40170142	3310677	0	0	0	0	0	0	0	0	0	8804754	3640118	0	71.82770794910697
TS13	47149727	2936025	7085058	0	0	0	0	0	0	0	0	0	20425025	16703619	0	6.227024389770062
TS14	72112577	67275722	131976	0	0	0	0	0	0	0	0	0	4481935	222944	0	93.29263326700972
TS14_subset	14430834	13462282	26557	0	0	0	0	0	0	0	0	0	897573	44422	0	93.288315838156
TS15	62111553	57832418	114712	0	0	0	0	0	0	0	0	0	3997665	166758	0	93.1105651149956
TS15_subset	4346703	4047157	8041	0	0	0	0	0	0	0	0	0	279722	11783	0	93.108661898455
TS16	68799785	64101588	130243	0	0	0	0	0	0	0	0	0	4368387	199567	0	93.17120395071002
TS16_subset	5505363	5129091	10370	0	0	0	0	0	0	0	0	0	350006	15896	0	93.16535530899598
TS17	57834500	54098505	90695	0	0	0	0	0	0	0	0	0	3485348	159952	0	93.54019659545773
TS17_subset	6945751	6497549	10926	0	0	0	0	0	0	0	0	0	417869	19407	0	93.54710527342543
TS18	64263435	59579137	87773	0	0	0	0	0	0	0	0	0	4384561	211964	0	92.71078802432518
TS18_subset	6422013	5953844	8757	0	0	0	0	0	0	0	0	0	438310	21102	0	92.70993378555914
TS19	64129308	59717122	68379	0	0	0	0	0	0	0	0	0	4182748	161059	0	93.11986026732114
TS19_subset	9620331	8958088	10087	0	0	0	0	0	0	0	0	0	627928	24228	0	93.11621398473712
TS2	64753335	4469478	10634549	0	0	0	0	0	0	0	0	0	27821549	21827759	0	6.902313216763275
TS20	54169342	50147271	62335	0	0	0	0	0	0	0	0	0	3809645	150091	0	92.57500488006666
TS20_subset	14620666	13534855	16810	0	0	0	0	0	0	0	0	0	1028424	40577	0	92.57345048440338
TS21	45541838	42589765	48281	0	0	0	0	0	0	0	0	0	2791740	112052	0	93.51788788146847
TS21_subset	37344308	34922474	39625	0	0	0	0	0	0	0	0	0	2290360	91849	0	93.51485104503745
TS22	65058571	59674925	78526	0	0	0	0	0	0	0	0	0	5114158	190962	0	91.7249242993671
TS22_subset	11707013	10739808	13999	0	0	0	0	0	0	0	0	0	918958	34248	0	91.73824270973304
TS23	52079757	48507721	54827	0	0	0	0	0	0	0	0	0	3382754	134455	0	93.14121991775039
TS23_subset	22400897	20865985	23626	0	0	0	0	0	0	0	0	0	1453620	57666	0	93.14798867206076
TS24	63888583	59192675	78779	0	0	0	0	0	0	0	0	0	4440933	176196	0	92.64984793918501
TS24_subset	5748033	5326263	7193	0	0	0	0	0	0	0	0	0	398796	15781	0	92.66235945409498
TS25	41707885	38848544	79526	0	0	0	0	0	0	0	0	0	2673910	105905	0	93.14436346988106
TS25_subset	41707885	38848544	79526	0	0	0	0	0	0	0	0	0	2673910	105905	0	93.14436346988106
TS3	47839871	5604078	6645524	0	0	0	0	0	0	0	0	0	20206852	15383417	0	11.714241453535692
TS4	56067398	7046040	9554816	0	0	0	0	0	0	0	0	0	24192102	15274440	0	12.567089344863122
TS5	50283507	6797878	7033280	0	0	0	0	0	0	0	0	0	24156412	12295937	0	13.519100805757244
TS6	34929643	9784023	1771394	0	0	0	0	0	0	0	0	0	19876113	3498113	0	28.01065845419605
TS7	62647479	14853133	5040347	0	0	0	0	0	0	0	0	0	32881993	9872006	0	23.7090673672599
TS8	56684296	34985320	1618666	0	0	0	0	0	0	0	0	0	16929947	3150363	0	61.71959866979736
TS9	61904396	11925432	7868047	0	0	0	0	0	0	0	0	0	32815335	9295582	0	19.264273251288973
