Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
TS1	29.21504452083628	14220018	46.39328669559539	47.0	124.07135283933799	0.0	46890860.0
TS1.concat.R1			46.93177446213205	48.0	151.0	9.090909090909092	46940335.0
TS1.concat.R2			47.3334085138949	48.0	151.0	18.181818181818183	46940335.0
TS10	41.47107341738125	19821214	75.04387241594436	51.0	141.98545332691378	18.181818181818183	44968839.0
TS10.concat.R1			75.26600702914607	51.0	151.0	27.27272727272727	44983432.0
TS10.concat.R2			74.60770580861747	51.0	151.0	27.27272727272727	44983432.0
TS11	11.805814450782917	5388171	84.44429489368105	51.0	140.4803474409056	18.181818181818183	45076903.0
TS11.concat.R1			84.70146189551815	51.0	151.0	27.27272727272727	45117202.0
TS11.concat.R2			83.72793769525461	51.0	151.0	18.181818181818183	45117202.0
TS12	71.82770794910697	40170142	56.27586986867077	51.0	144.67943924653554	18.181818181818183	49621664.0
TS12.concat.R1			57.01031484534598	51.0	151.0	27.27272727272727	49635875.0
TS12.concat.R2			56.40176296687105	51.0	151.0	27.27272727272727	49635875.0
TS13	6.227024389770062	2936025	89.09465985403676	51.0	138.95873696396245	9.090909090909092	47005848.0
TS13.concat.R1			90.45013985785606	51.0	151.0	18.181818181818183	47028805.0
TS13.concat.R2			89.53562460102907	51.0	151.0	18.181818181818183	47028805.0
TS14	93.29263326700972	67275722	48.71879853992759	49.0	145.4600906361534	9.090909090909092	61752400.0
TS14.concat.R1			48.87279361390304	49.0	151.0	18.181818181818183	61765966.0
TS14.concat.R2			48.31386091715765	49.0	151.0	27.27272727272727	61765966.0
TS14_subset	93.288315838156	13462282					
TS15	93.1105651149956	57832418	42.76028974797372	48.0	144.2479916637148	9.090909090909092	53740004.0
